"subject_id","story","social_interaction","relationship","likert_rating","normalized_likert_rating"
"850b781d0f6eeb84a6108569a2b4cf5a","babysitting","precedent","asymmetric",6,0.545454545454545
"850b781d0f6eeb84a6108569a2b4cf5a","babysitting","precedent","symmetric",3,0.272727272727273
"850b781d0f6eeb84a6108569a2b4cf5a","babysitting","precedent","none",2,0.181818181818182
"850b781d0f6eeb84a6108569a2b4cf5a","concerts","no_interaction","asymmetric",2,0.166666666666667
"850b781d0f6eeb84a6108569a2b4cf5a","concerts","no_interaction","symmetric",3,0.25
"850b781d0f6eeb84a6108569a2b4cf5a","concerts","no_interaction","none",7,0.583333333333333
"2bba51f598bf1087f5e74d21f051df46","concerts","reciprocity","asymmetric",1,0.1
"2bba51f598bf1087f5e74d21f051df46","concerts","reciprocity","symmetric",7,0.7
"2bba51f598bf1087f5e74d21f051df46","concerts","reciprocity","none",2,0.2
"2bba51f598bf1087f5e74d21f051df46","police","reciprocity","asymmetric",2,0.2
"2bba51f598bf1087f5e74d21f051df46","police","reciprocity","symmetric",7,0.7
"2bba51f598bf1087f5e74d21f051df46","police","reciprocity","none",1,0.1
"2bba51f598bf1087f5e74d21f051df46","meeting prep","no_interaction","asymmetric",3,0.25
"2bba51f598bf1087f5e74d21f051df46","meeting prep","no_interaction","symmetric",4,0.333333333333333
"2bba51f598bf1087f5e74d21f051df46","meeting prep","no_interaction","none",5,0.416666666666667
"2bba51f598bf1087f5e74d21f051df46","fundraising","precedent","asymmetric",6,0.6
"2bba51f598bf1087f5e74d21f051df46","fundraising","precedent","symmetric",2,0.2
"2bba51f598bf1087f5e74d21f051df46","fundraising","precedent","none",2,0.2
"2bba51f598bf1087f5e74d21f051df46","feedback","reciprocity","asymmetric",2,0.222222222222222
"2bba51f598bf1087f5e74d21f051df46","feedback","reciprocity","symmetric",6,0.666666666666667
"2bba51f598bf1087f5e74d21f051df46","feedback","reciprocity","none",1,0.111111111111111
"2bba51f598bf1087f5e74d21f051df46","groceries","no_interaction","asymmetric",2,0.2
"2bba51f598bf1087f5e74d21f051df46","groceries","no_interaction","symmetric",4,0.4
"2bba51f598bf1087f5e74d21f051df46","groceries","no_interaction","none",4,0.4
"2bba51f598bf1087f5e74d21f051df46","meeting location","reciprocity","asymmetric",2,0.222222222222222
"2bba51f598bf1087f5e74d21f051df46","meeting location","reciprocity","symmetric",6,0.666666666666667
"2bba51f598bf1087f5e74d21f051df46","meeting location","reciprocity","none",1,0.111111111111111
"2bba51f598bf1087f5e74d21f051df46","scheduling","no_interaction","asymmetric",4,0.307692307692308
"2bba51f598bf1087f5e74d21f051df46","scheduling","no_interaction","symmetric",4,0.307692307692308
"2bba51f598bf1087f5e74d21f051df46","scheduling","no_interaction","none",5,0.384615384615385
"2bba51f598bf1087f5e74d21f051df46","family meals","reciprocity","asymmetric",2,0.222222222222222
"2bba51f598bf1087f5e74d21f051df46","family meals","reciprocity","symmetric",6,0.666666666666667
"2bba51f598bf1087f5e74d21f051df46","family meals","reciprocity","none",1,0.111111111111111
"2bba51f598bf1087f5e74d21f051df46","gifts","precedent","asymmetric",6,0.666666666666667
"2bba51f598bf1087f5e74d21f051df46","gifts","precedent","symmetric",2,0.222222222222222
"2bba51f598bf1087f5e74d21f051df46","gifts","precedent","none",1,0.111111111111111
"2bba51f598bf1087f5e74d21f051df46","coffee","precedent","asymmetric",5,0.555555555555556
"2bba51f598bf1087f5e74d21f051df46","coffee","precedent","symmetric",3,0.333333333333333
"2bba51f598bf1087f5e74d21f051df46","coffee","precedent","none",1,0.111111111111111
"2bba51f598bf1087f5e74d21f051df46","conversation","precedent","asymmetric",6,0.666666666666667
"2bba51f598bf1087f5e74d21f051df46","conversation","precedent","symmetric",2,0.222222222222222
"2bba51f598bf1087f5e74d21f051df46","conversation","precedent","none",1,0.111111111111111
"2bba51f598bf1087f5e74d21f051df46","housemates","precedent","asymmetric",7,0.777777777777778
"2bba51f598bf1087f5e74d21f051df46","housemates","precedent","symmetric",1,0.111111111111111
"2bba51f598bf1087f5e74d21f051df46","housemates","precedent","none",1,0.111111111111111
"2bba51f598bf1087f5e74d21f051df46","group project","no_interaction","asymmetric",3,0.272727272727273
"2bba51f598bf1087f5e74d21f051df46","group project","no_interaction","symmetric",4,0.363636363636364
"2bba51f598bf1087f5e74d21f051df46","group project","no_interaction","none",4,0.363636363636364
"2bba51f598bf1087f5e74d21f051df46","weekend","no_interaction","asymmetric",4,0.307692307692308
