"subject_id","story","social_interaction","relationship","likert_rating","normalized_likert_rating"
"2881d159e40a329d92f48b32ca38daaf","scheduling","no_interaction","equal",4,0.5
"2881d159e40a329d92f48b32ca38daaf","scheduling","no_interaction","lower",2,0.25
"2881d159e40a329d92f48b32ca38daaf","police","repeating","higher",6,0.461538461538462
"2881d159e40a329d92f48b32ca38daaf","police","repeating","equal",5,0.384615384615385
"2881d159e40a329d92f48b32ca38daaf","police","repeating","lower",2,0.153846153846154
"2881d159e40a329d92f48b32ca38daaf","housemates","no_interaction","higher",3,0.272727272727273
"2881d159e40a329d92f48b32ca38daaf","housemates","no_interaction","equal",5,0.454545454545455
"2881d159e40a329d92f48b32ca38daaf","housemates","no_interaction","lower",3,0.272727272727273
"2881d159e40a329d92f48b32ca38daaf","concerts","no_interaction","higher",2,0.25
"2881d159e40a329d92f48b32ca38daaf","concerts","no_interaction","equal",4,0.5
"2881d159e40a329d92f48b32ca38daaf","concerts","no_interaction","lower",2,0.25
"2881d159e40a329d92f48b32ca38daaf","gifts","alternating","higher",2,0.2
"2881d159e40a329d92f48b32ca38daaf","gifts","alternating","equal",6,0.6
"2881d159e40a329d92f48b32ca38daaf","gifts","alternating","lower",2,0.2
"2881d159e40a329d92f48b32ca38daaf","architects","repeating","higher",4,0.333333333333333
"2881d159e40a329d92f48b32ca38daaf","architects","repeating","equal",5,0.416666666666667
"2881d159e40a329d92f48b32ca38daaf","architects","repeating","lower",3,0.25
"2881d159e40a329d92f48b32ca38daaf","restaurant","alternating","higher",2,0.2
"2881d159e40a329d92f48b32ca38daaf","restaurant","alternating","equal",6,0.6
"2881d159e40a329d92f48b32ca38daaf","restaurant","alternating","lower",2,0.2
"2881d159e40a329d92f48b32ca38daaf","feedback","repeating","higher",2,0.222222222222222
"2881d159e40a329d92f48b32ca38daaf","feedback","repeating","equal",5,0.555555555555556
"2881d159e40a329d92f48b32ca38daaf","feedback","repeating","lower",2,0.222222222222222
"2881d159e40a329d92f48b32ca38daaf","babysitting","no_interaction","higher",2,0.2
"2881d159e40a329d92f48b32ca38daaf","babysitting","no_interaction","equal",6,0.6
"2881d159e40a329d92f48b32ca38daaf","babysitting","no_interaction","lower",2,0.2
"2881d159e40a329d92f48b32ca38daaf","weekend","alternating","higher",2,0.2
"2881d159e40a329d92f48b32ca38daaf","weekend","alternating","equal",6,0.6
"2881d159e40a329d92f48b32ca38daaf","weekend","alternating","lower",2,0.2
"2881d159e40a329d92f48b32ca38daaf","family meals","repeating","higher",6,0.461538461538462
"2881d159e40a329d92f48b32ca38daaf","family meals","repeating","equal",5,0.384615384615385
"2881d159e40a329d92f48b32ca38daaf","family meals","repeating","lower",2,0.153846153846154
"3c032e04574cd756fabbacbaafd0efab","police","alternating","higher",2,0.2
"3c032e04574cd756fabbacbaafd0efab","police","alternating","equal",6,0.6
"3c032e04574cd756fabbacbaafd0efab","police","alternating","lower",2,0.2
"3c032e04574cd756fabbacbaafd0efab","fundraising","repeating","higher",6,0.461538461538462
"3c032e04574cd756fabbacbaafd0efab","fundraising","repeating","equal",5,0.384615384615385
"3c032e04574cd756fabbacbaafd0efab","fundraising","repeating","lower",2,0.153846153846154
"3c032e04574cd756fabbacbaafd0efab","gifts","alternating","higher",2,0.2
"3c032e04574cd756fabbacbaafd0efab","gifts","alternating","equal",6,0.6
"3c032e04574cd756fabbacbaafd0efab","gifts","alternating","lower",2,0.2
"3c032e04574cd756fabbacbaafd0efab","group project","alternating","higher",2,0.181818181818182
"3c032e04574cd756fabbacbaafd0efab","group project","alternating","equal",7,0.636363636363636
"3c032e04574cd756fabbacbaafd0efab","group project","alternating","lower",2,0.181818181818182
"3c032e04574cd756fabbacbaafd0efab","meeting prep","no_interaction","higher",2,0.2
"3c032e04574cd756fabbacbaafd0efab","meeting prep","no_interaction","equal",6,0.6
"3c032e04574cd756fabbacbaafd0efab","meeting prep","no_interaction","lower",2,0.2
"3c032e04574cd756fabbacbaafd0efab","coffee","repeating","higher",2,0.2
"3c032e04574cd756fabbacbaafd0efab","coffee","repeating","equal",2,0.2
"3c032e04574cd756fabbacbaafd0efab","coffee","repeating","lower",6,0.6
"3c032e04574cd756fabbacbaafd0efab","meeting location","alternating","higher",2,0.2
"3c032e04574cd756fabbacbaafd0efab","meeting location","alternating","equal",6,0.6
"3c032e04574cd756fabbacbaafd0efab","meeting location","alternating","lower",2,0.2
"3c032e04574cd756fabbacbaafd0efab","restaurant","no_interaction","higher",4,0.333333333333333
"3c032e04574cd756fabbacbaafd0efab","restaurant","no_interaction","equal",4,0.333333333333333
"3c032e04574cd756fabbacbaafd0efab","restaurant","no_interaction","lower",4,0.333333333333333
"3c032e04574cd756fabbacbaafd0efab","conversation","alternating","higher",3,0.25
"3c032e04574cd756fabbacbaafd0efab","conversation","alternating","equal",6,0.5
"3c032e04574cd756fabbacbaafd0efab","conversation","alternating","lower",3,0.25
"3c032e04574cd756fabbacbaafd0efab","family meals","repeating","higher",6,0.545454545454545
"3c032e04574cd756fabbacbaafd0efab","family meals","repeating","equal",3,0.272727272727273
"3c032e04574cd756fabbacbaafd0efab","family meals","repeating","lower",2,0.181818181818182
"3c032e04574cd756fabbacbaafd0efab","concerts","alternating","higher",1,0.111111111111111
"3c032e04574cd756fabbacbaafd0efab","concerts","alternating","equal",7,0.777777777777778
"3c032e04574cd756fabbacbaafd0efab","concerts","alternating","lower",1,0.111111111111111
"3c032e04574cd756fabbacbaafd0efab","babysitting","no_interaction","higher",4,0.333333333333333
"3c032e04574cd756fabbacbaafd0efab","babysitting","no_interaction","equal",4,0.333333333333333
"3c032e04574cd756fabbacbaafd0efab","babysitting","no_interaction","lower",4,0.333333333333333
"3c032e04574cd756fabbacbaafd0efab","feedback","no_interaction","higher",4,0.333333333333333
"3c032e04574cd756fabbacbaafd0efab","feedback","no_interaction","equal",4,0.333333333333333
"3c032e04574cd756fabbacbaafd0efab","feedback","no_interaction","lower",4,0.333333333333333
