"subject_id","story","social_interaction","relationship","likert_rating"
"2ec7dc6272e27ba957b43e6082240645","groceries","reciprocity","equal",6
"2ec7dc6272e27ba957b43e6082240645","groceries","reciprocity","less",2
"2ec7dc6272e27ba957b43e6082240645","architects","precedent","more",4
"2ec7dc6272e27ba957b43e6082240645","architects","precedent","equal",5
"2ec7dc6272e27ba957b43e6082240645","architects","precedent","less",4
"2ec7dc6272e27ba957b43e6082240645","family meals","precedent","more",5
"2ec7dc6272e27ba957b43e6082240645","family meals","precedent","equal",3
"2ec7dc6272e27ba957b43e6082240645","family meals","precedent","less",3
"2881d159e40a329d92f48b32ca38daaf","fundraising","reciprocity","more",2
"2881d159e40a329d92f48b32ca38daaf","fundraising","reciprocity","equal",6
"2881d159e40a329d92f48b32ca38daaf","fundraising","reciprocity","less",2
"2881d159e40a329d92f48b32ca38daaf","meeting location","reciprocity","more",2
"2881d159e40a329d92f48b32ca38daaf","meeting location","reciprocity","equal",6
"2881d159e40a329d92f48b32ca38daaf","meeting location","reciprocity","less",2
"2881d159e40a329d92f48b32ca38daaf","coffee","precedent","more",5
"2881d159e40a329d92f48b32ca38daaf","coffee","precedent","equal",6
"2881d159e40a329d92f48b32ca38daaf","coffee","precedent","less",3
"2881d159e40a329d92f48b32ca38daaf","conversation","no_interaction","more",4
"2881d159e40a329d92f48b32ca38daaf","conversation","no_interaction","equal",6
"2881d159e40a329d92f48b32ca38daaf","conversation","no_interaction","less",4
"2881d159e40a329d92f48b32ca38daaf","meeting prep","precedent","more",6
"2881d159e40a329d92f48b32ca38daaf","meeting prep","precedent","equal",4
"2881d159e40a329d92f48b32ca38daaf","meeting prep","precedent","less",2
"2881d159e40a329d92f48b32ca38daaf","group project","no_interaction","more",2
"2881d159e40a329d92f48b32ca38daaf","group project","no_interaction","equal",6
"2881d159e40a329d92f48b32ca38daaf","group project","no_interaction","less",2
"2881d159e40a329d92f48b32ca38daaf","groceries","reciprocity","more",2
"2881d159e40a329d92f48b32ca38daaf","groceries","reciprocity","equal",6
"2881d159e40a329d92f48b32ca38daaf","groceries","reciprocity","less",2
"2881d159e40a329d92f48b32ca38daaf","scheduling","no_interaction","more",2
"2881d159e40a329d92f48b32ca38daaf","scheduling","no_interaction","equal",4
"2881d159e40a329d92f48b32ca38daaf","scheduling","no_interaction","less",2
"2881d159e40a329d92f48b32ca38daaf","police","precedent","more",6
"2881d159e40a329d92f48b32ca38daaf","police","precedent","equal",5
"2881d159e40a329d92f48b32ca38daaf","police","precedent","less",2
"2881d159e40a329d92f48b32ca38daaf","housemates","no_interaction","more",3
"2881d159e40a329d92f48b32ca38daaf","housemates","no_interaction","equal",5
"2881d159e40a329d92f48b32ca38daaf","housemates","no_interaction","less",3
"2881d159e40a329d92f48b32ca38daaf","concerts","no_interaction","more",2
"2881d159e40a329d92f48b32ca38daaf","concerts","no_interaction","equal",4
"2881d159e40a329d92f48b32ca38daaf","concerts","no_interaction","less",2
"2881d159e40a329d92f48b32ca38daaf","gifts","reciprocity","more",2
"2881d159e40a329d92f48b32ca38daaf","gifts","reciprocity","equal",6
"2881d159e40a329d92f48b32ca38daaf","gifts","reciprocity","less",2
"2881d159e40a329d92f48b32ca38daaf","architects","precedent","more",4
"2881d159e40a329d92f48b32ca38daaf","architects","precedent","equal",5
"2881d159e40a329d92f48b32ca38daaf","architects","precedent","less",3
"2881d159e40a329d92f48b32ca38daaf","restaurant","reciprocity","more",2
"2881d159e40a329d92f48b32ca38daaf","restaurant","reciprocity","equal",6
"2881d159e40a329d92f48b32ca38daaf","restaurant","reciprocity","less",2
"2881d159e40a329d92f48b32ca38daaf","feedback","precedent","more",2
"2881d159e40a329d92f48b32ca38daaf","feedback","precedent","equal",5
"2881d159e40a329d92f48b32ca38daaf","feedback","precedent","less",2
"2881d159e40a329d92f48b32ca38daaf","babysitting","no_interaction","more",2
